Glyph;Weight;LKG;RKG;LSB;RSB;Width
de-cy.loclBGR;Regular;@o;@g;37.0;63.0;575.0
zhe-cy.loclBGR;Regular;@x;@x;25.0;25.0;616.0
ze-cy.loclBGR;Regular;@ze-cy;@ve-cy;20.0;40.0;400.0
ii-cy.loclBGR;Regular;@u;@u;63.0;63.0;530.0
iishort-cy.loclBGR;Regular;@u;@u;63.0;63.0;530.0
iigrave-cy.loclBGR;Regular;@u;@u;63.0;63.0;530.0
ka-cy.loclBGR;Regular;@h;@k;63.0;10.0;376.0
pe-cy.loclBGR;Regular;@n;@n;63.0;63.0;530.0
te-cy.loclBGR;Regular;@n;@n;63.0;63.0;752.0
che-cy.loclBGR;Regular;@che-cy;@u;40.0;75.0;436.0
tse-cy.loclBGR;Regular;@u;@tse-cy;63.0;14.0;530.0
sha-cy.loclBGR;Regular;@u;@u;63.0;63.0;752.0
shcha-cy.loclBGR;Regular;@u;@tse-cy;63.0;8.0;752.0
softsign-cy.loclBGR;Regular;@u;@softsign-cy;75.0;40.0;443.0
hardsign-cy.loclBGR;Regular;@te-cy;@softsign-cy;25.0;40.0;507.0
iu-cy.loclBGR;Regular;@h;@o;75.0;40.0;736.0
ghestroke-cy.loclBSH;Regular;@n;@ge-cy;75.0;10.0;284.0
zedescender-cy.loclBSH;Regular;@ze-cy;@ze-cy;20.0;50.0;358.0
esdescender-cy.loclBSH;Regular;@o;@c;37.0;33.0;486.0
esdescender-cy.loclCHU;Regular;@o;@c;37.0;26.0;479.0
be-cy.loclSRB;Regular;@o;@o;37.0;37.0;550.0
el-cy.ss01;Regular;@el-cy.ss01;@u;20.0;63.0;431.0
lje-cy.ss01;Regular;@el-cy.ss01;@softsign-cy;20.0;40.0;594.0
el-cy.loclBGR;Regular;@el-cy;@u;10.0;10.0;463.0
en-cy.loclBGR;Regular;@u;@n;75.0;75.0;519.0
gje-cy.loclMKD;Regular;@ge-cy;@n;75.0;-45.0;284.0
ge-cy.loclSRB;Regular;@n;@ge-cy;75.0;10.0;284.0
de-cy.loclSRB;Regular;@de-cy;@tse-cy;23.0;25.0;536.0
pe-cy.loclSRB;Regular;@u;@n;75.0;75.0;512.0
te-cy.loclSRB;Regular;@te-cy;@te-cy;15.0;15.0;406.0
Enghe-cy;Regular;@H;@Ge-cy;75.0;25.0;914.0
enghe-cy;Regular;@n;@ge-cy;75.0;10.0;619.0
Tetse-cy;Regular;@T;@Tse-cy;21.0;25.0;762.0
tetse-cy;Regular;@te-cy;@tse-cy;15.0;25.0;622.0
Aie-cy;Regular;@A;@E;26.0;26.0;693.0
aie-cy;Regular;@a;@e;37.0;37.0;936.0
zero;Regular;@zero;@zero;40.0;40.0;856.0
one;Regular;@one;@one;15.0;75.0;241.0
two;Regular;@two;@two;28.0;48.0;637.0
three;Regular;@three;@three;30.0;45.0;589.0
four;Regular;@four;@four;0.0;15.0;503.0
five;Regular;@five;@five;45.0;45.0;649.0
six;Regular;@six;@six;31.0;33.0;631.0
seven;Regular;@seven;@seven;20.0;20.0;535.0
eight;Regular;@eight;@eight;30.0;30.0;569.0
nine;Regular;@nine;@nine;31.0;33.0;631.0
zero.lf;Regular;@zero;@zero;40.0;40.0;856.0
one.lf;Regular;@one;@one;15.0;75.0;241.0
two.lf;Regular;@two;@two;28.0;48.0;637.0
three.lf;Regular;@three;@three;30.0;45.0;589.0
four.lf;Regular;@four;@four;0.0;15.0;503.0
five.lf;Regular;@five;@five;45.0;45.0;649.0
six.lf;Regular;@six;@six;31.0;33.0;631.0
seven.lf;Regular;@seven;@seven;20.0;20.0;535.0
eight.lf;Regular;@eight;@eight;30.0;30.0;569.0
nine.lf;Regular;@nine;@nine;31.0;33.0;631.0
zero.tf;Regular;@zero.tf;@zero.tf;32.0;32.0;700.0
one.tf;Regular;@one.tf;@one.tf;154.0;89.0;700.0
two.tf;Regular;@two;@two;69.0;70.0;700.0
three.tf;Regular;@three;@three;93.0;93.0;700.0
four.tf;Regular;@four;@four;106.0;106.0;700.0
five.tf;Regular;@five;@five;70.0;71.0;700.0
six.tf;Regular;@six;@six;66.0;67.0;700.0
seven.tf;Regular;@seven;@seven;122.0;83.0;700.0
eight.tf;Regular;@eight;@eight;95.0;96.0;700.0
nine.tf;Regular;@nine;@nine;66.0;67.0;700.0
onesuperior;Regular;@onesuperior;@onesuperior;15.0;75.0;241.0
twosuperior;Regular;@twosuperior;@twosuperior;28.0;48.0;374.0
threesuperior;Regular;@threesuperior;@threesuperior;30.0;45.0;336.0
foursuperior;Regular;@foursuperior;@foursuperior;20.0;15.0;311.0
fraction;Regular;@fraction;@fraction;-150.0;-202.0;150.0
onehalf;Regular;@onesuperior;@onesuperior;15.0;45.0;709.0
onequarter;Regular;@onesuperior;@onesuperior;15.0;15.0;668.0
threequarters;Regular;@threesuperior;@threesuperior;30.0;15.0;763.0
asterisk;Regular;@asterisk;@asterisk;35.0;35.0;313.0
backslash;Regular;@backslash;@backslash;0.0;0.0;596.0
periodcentered;Regular;@period;@period;74.0;68.0;212.0
bullet;Regular;@period;@period;108.0;108.0;315.0
colon;Regular;@period;@period;34.0;35.0;139.0
comma;Regular;@period;@period;34.0;35.0;139.0
ellipsis;Regular;@period;@period;34.0;34.0;438.0
exclam;Regular;@period;@period;50.0;50.0;170.0
exclamdown;Regular;@exclamdown;@exclamdown;50.0;50.0;170.0
numbersign;Regular;@H;@H;15.0;15.0;672.0
period;Regular;@period;@period;34.0;35.0;139.0
question;Regular;@question;@question;45.0;85.0;646.0
questiondown;Regular;@questiondown;@questiondown;45.0;85.0;646.0
quotedbl;Regular;@quotesingle;@quotesingle;70.0;70.0;275.0
quotesingle;Regular;@quotesingle;@quotesingle;75.0;75.0;183.0
semicolon;Regular;@period;@period;34.0;34.0;138.0
slash;Regular;@slash;@slash;0.0;0.0;596.0
underscore;Regular;@underscore;@underscore;25.0;25.0;358.0
periodcentered.loclCAT;Regular;@period;@period;74.0;68.0;212.0
braceleft;Regular;@parenleft;@braceleft;34.0;20.0;257.0
braceright;Regular;@braceright;@parenright;20.0;34.0;257.0
bracketleft;Regular;@parenleft;@bracketleft;72.0;15.0;215.0
bracketright;Regular;@bracketright;@parenright;15.0;70.0;215.0
parenleft;Regular;@parenleft;@parenleft;85.0;25.0;333.0
parenright;Regular;@parenright;@parenright;25.0;85.0;334.0
emdash;Regular;@hyphen;@hyphen;15.0;15.0;494.0
endash;Regular;@hyphen;@hyphen;50.0;50.0;408.0
hyphen;Regular;@hyphen;@hyphen;40.0;40.0;391.0
softhyphen;Regular;@hyphen;@hyphen;0.0;0.0;300.0
guillemetleft;Regular;@guillemetleft;@guillemetleft;63.0;20.0;444.0
guillemetright;Regular;@guillemetright;@guillemetright;20.0;62.0;443.0
guilsinglleft;Regular;@guillemetleft;@guillemetleft;63.0;20.0;313.0
guilsinglright;Regular;@guillemetright;@guillemetright;20.0;62.0;313.0
quotedblbase;Regular;@period;@period;20.0;90.0;329.0
quotedblleft;Regular;@quotedblleft;@quotedblleft;100.0;25.0;344.0
quotedblright;Regular;@quotedblleft;@quotedblleft;25.0;100.0;344.0
quoteleft;Regular;@quotedblleft;@quotedblleft;100.0;25.0;220.0
quoteright;Regular;@quotedblleft;@quotedblleft;25.0;100.0;220.0
quotesinglbase;Regular;@period;@period;20.0;90.0;205.0
space;Regular;@space;@space;0.0;0.0;220.0
nbspace;Regular;@nbspace;@nbspace;0.0;0.0;220.0
.notdef;Regular;@.notdef;@.notdef;50.0;50.0;500.0
cedi;Regular;@O;@C;47.0600013733;62.799987793;691.0
cent;Regular;@o;@c;37.0;26.0;499.0
colonsign;Regular;@O;@C;47.0;32.0;703.0
currency;Regular;@o;@o;50.0;50.0;576.0
dollar;Regular;@S;@S;62.0;27.0;507.0
dong;Regular;@d;@l;40.0;37.0;547.0
euro;Regular;@O;@C;47.0;63.0;703.0
florin;Regular;@f;@f;26.0;26.0;364.0
franc;Regular;@H;@F;24.0;25.0;367.0
guarani;Regular;@O;@C;45.0600013733;69.799987793;696.0
hryvnia;Regular;@hryvnia;@hryvnia;15.0000009537;30.599981308;498.0
kip;Regular;@H;@K;10.0;24.0;587.0
lira;Regular;@sterling;@sterling;20.0;20.0;529.0
liraTurkish;Regular;@L;@L;40.0;21.0;478.0
manat;Regular;@U;@U;80.0;80.0;607.0
naira;Regular;@H;@N;40.0;40.0;757.0
peseta;Regular;@P;@s;78.0;37.0;878.0
peso;Regular;@H;@P;35.0;10.0;445.0
ruble;Regular;@H;@P;25.0;35.0;396.0
rupeeIndian;Regular;@H;@R;70.0;50.0;491.0
sterling;Regular;@sterling;@sterling;20.0;20.0;529.0
tenge;Regular;@T;@T;21.0;21.0;419.0
tugrik;Regular;@T;@T;21.0;19.0;417.0
won;Regular;@V;@V;0.0;0.0;859.0
yen;Regular;@Y;@Y;0.0;0.0;484.0
bulletoperator;Regular;@period;@period;70.0;70.0;350.0
divisionslash;Regular;@slash;@slash;0.0;25.0;513.0
plus;Regular;@plus;@plus;15.0;15.0;341.0
minus;Regular;@plus;@plus;40.0;40.0;391.0
multiply;Regular;@plus;@plus;75.0;75.0;393.0
divide;Regular;@plus;@plus;75.0;75.0;461.0
equal;Regular;@plus;@plus;50.0;50.0;411.0
notequal;Regular;@plus;@plus;50.0;50.0;411.0
greater;Regular;@plus;@plus;75.0;20.0;408.0
less;Regular;@plus;@plus;75.0;20.0;408.0
greaterequal;Regular;@plus;@plus;75.0;75.0;463.0
lessequal;Regular;@plus;@plus;75.0;75.0;463.0
plusminus;Regular;@plus;@plus;70.0;70.0;451.0
approxequal;Regular;@plus;@plus;75.0;75.0;533.0
asciitilde;Regular;@plus;@plus;50.0;50.0;483.0
logicalnot;Regular;@plus;@plus;50.0;50.0;410.0
micro;Regular;@u;@n;75.0;75.0;555.0
percent;Regular;@percent;@percent;20.0;20.0;692.0
perthousand;Regular;@percent;@percent;55.0;50.0;1155.0
at;Regular;@at;@at;50.0;50.0;880.0
ampersand;Regular;@ampersand;@ampersand;35.0;15.0;696.0
paragraph;Regular;@paragraph;@paragraph;75.0;30.0;564.0
section;Regular;@section;@section;50.0;50.0;426.0
copyright;Regular;@o;@o;55.0;55.0;890.0
registered;Regular;@o;@o;55.0;55.0;890.0
trademark;Regular;@trademark;@trademark;35.0;36.0;669.0
degree;Regular;@degree;@degree;20.0;20.0;191.0
bar;Regular;@bar;@bar;75.0;75.0;183.0
brokenbar;Regular;@bar;@bar;90.0;90.0;215.0
dagger;Regular;@dagger;@dagger;75.0;75.0;461.0
daggerdbl;Regular;@dagger;@dagger;75.0;75.0;461.0
numero;Regular;@H;@H;79.0;40.0;1111.0
asciicircum;Regular;@asciicircum;@asciicircum;15.0;15.0;330.0
dieresiscomb;Regular;@dieresiscomb;@dieresiscomb;50.2507972717;48.7552032471;262.0
dotaccentcomb;Regular;@dotaccent;@dotaccent;9.0;9.0;88.0
gravecomb;Regular;@grave;@grave;-67.0;97.0;211.0
acutecomb;Regular;@acute;@acute;68.0;-38.0;211.0
hungarumlautcomb;Regular;@hungarumlaut;@hungarumlaut;15.0;12.0;330.0
caroncomb.alt;Regular;@caroncomb.alt;@caroncomb.alt;90.0;78.0;211.0
circumflexcomb;Regular;@circumflex;@circumflex;50.0;50.0;396.0
caroncomb;Regular;@caron;@caron;18.0;16.0;330.0
brevecomb;Regular;@breve;@breve;14.0;15.0;279.0
ringcomb;Regular;@ring;@ring;15.0;15.0;181.0
tildecomb;Regular;@tilde;@tilde;24.0;12.0;371.0
macroncomb;Regular;@macroncomb;@macroncomb;10.0;10.0;297.0
hookabovecomb;Regular;@hookabovecomb;@hookabovecomb;55.0;55.0;295.0
dblgravecomb;Regular;@grave;@grave;-67.0;-3.0;211.0
breveinvertedcomb;Regular;@breveinvertedcomb;@breveinvertedcomb;15.0;14.0;279.0
commaturnedabovecomb;Regular;@commaturnedabovecomb;@commaturnedabovecomb;50.0;50.0;195.0
horncomb;Regular;@horncomb;@horncomb;50.0;57.0;225.0
dotbelowcomb;Regular;@period;@period;34.0;35.0;139.0
dieresisbelowcomb;Regular;@dieresiscomb;@dieresiscomb;50.2507972717;48.7552032471;262.0
commaaccentcomb;Regular;@commaaccentcomb;@commaaccentcomb;73.0;68.0;211.0
cedillacomb;Regular;@cedilla;@cedilla;55.0;74.9749221802;237.0
ogonekcomb;Regular;@ogonekcomb;@ogonekcomb;12.0;15.0;145.0
brevebelowcomb;Regular;@brevecomb;@breve;14.0;15.0;279.0
macronbelowcomb;Regular;@macroncomb;@macroncomb;10.0;10.0;297.0
strokeshortcomb;Regular;@strokeshortcomb;@strokeshortcomb;50.0;50.0;487.0
hookabovecomb.001;Regular;@hookabovecomb.001;@hookabovecomb.001;55.0;55.0;295.0
commaaccentcomb.alt;Regular;@commaaccentcomb.alt;@commaaccentcomb.alt;0.0;0.0;600.0
dieresiscomb.case;Regular;@dieresiscomb.case;@dieresiscomb.case;43.0;46.0;262.0
gravecomb.case;Regular;@gravecomb.case;@gravecomb.case;50.0;50.0;281.0
acutecomb.case;Regular;@acutecomb.case;@acutecomb.case;50.0;50.0;281.0
hungarumlautcomb.case;Regular;@hungarumlautcomb.case;@hungarumlautcomb.case;50.0;50.0;403.0
macroncomb.case;Regular;@macroncomb.case;@macroncomb.case;30.0;30.0;297.0
commaaccentcomb.case;Regular;@commaaccentcomb;@commaaccentcomb;73.0;68.0;211.0
gravecomb.i.case;Regular;@gravecomb.i.case;@gravecomb.i.case;50.0;50.0;237.0
acutecomb.i.case;Regular;@acutecomb.i.case;@acutecomb.i.case;50.0;94.0;281.0
gravecomb.i;Regular;@gravecomb.i;@gravecomb.i;50.0;50.0;237.0
acutecomb.i;Regular;@acutecomb.i.case;@acutecomb.i.case;50.0;94.0;281.0
circumflexcomb.i;Regular;@circumflexcomb.i;@circumflexcomb.i;70.0;70.0;396.0
caroncomb.i;Regular;@caroncomb.i;@caroncomb.i;38.0;36.0;330.0
brevecomb.i;Regular;@brevecomb.i;@brevecomb.i;55.0;55.0;310.0
tildecomb.i;Regular;@tildecomb.i;@tildecomb.i;24.0;12.0;291.0
macroncomb.i;Regular;@macroncomb.i;@macroncomb.i;50.0;50.0;297.0
dblgravecomb.i;Regular;@dblgravecomb.i;@dblgravecomb.i;-28.0;-3.0;211.0
breveinvertedcomb.i;Regular;@breveinvertedcomb.i;@breveinvertedcomb.i;50.0;50.0;310.0
apostrophemod;Regular;@apostrophemod;@apostrophemod;50.0;54.0;195.0
firsttonechinese;Regular;@macroncomb;@macroncomb;10.0;10.0;297.0
acute;Regular;@acute;@acute;15.0;15.0;211.0
breve;Regular;@breve;@breve;14.0;15.0;279.0
caron;Regular;@caron;@caron;18.0;16.0;330.0
cedilla;Regular;@cedilla;@cedilla;15.0;7.0;142.0
circumflex;Regular;@circumflex;@circumflex;18.0;16.0;330.0
dieresis;Regular;@dieresis;@dieresis;15.0;15.0;192.0
dotaccent;Regular;@dotaccent;@dotaccent;9.0;9.0;88.0
grave;Regular;@grave;@grave;15.0;15.0;211.0
hungarumlaut;Regular;@hungarumlaut;@hungarumlaut;15.0;12.0;330.0
macron;Regular;@macron;@macron;75.0;69.0;341.0
ogonek;Regular;@ogonekcomb;@ogonekcomb;12.0;470.0;600.0
ring;Regular;@ring;@ring;15.0;15.0;181.0
tilde;Regular;@tilde;@tilde;24.0;12.0;371.0
brevecomb-cy;Regular;@brevecomb-cy;@brevecomb-cy;30.0;30.0;349.0
brevecomb-cy.case;Regular;@brevecomb-cy.case;@brevecomb-cy.case;30.0;30.0;349.0
descender-cy;Regular;@descender-cy;@descender-cy;0.0;25.0;96.0
descender-cy.case;Regular;@descender-cy.case;@descender-cy.case;0.0;25.0;102.0
brevecomb_acutecomb;Regular;@brevecomb;@breve;50.0;50.0;350.0
brevecomb_gravecomb;Regular;@brevecomb;@breve;50.0;50.0;350.0
brevecomb_hookabovecomb;Regular;@brevecomb;@breve;14.0;336.0;600.0
brevecomb_tildecomb;Regular;@brevecomb;@breve;50.0;50.0;355.0
circumflexcomb_acutecomb;Regular;@circumflex;@acute;40.0;89.0;469.0
circumflexcomb_gravecomb;Regular;@circumflex;@grave;12.0;70.0;421.0
circumflexcomb_hookabovecomb;Regular;@circumflex;@hookabovecomb;70.0;-3.0;396.0
circumflexcomb_tildecomb;Regular;@circumflexcomb.i;@circumflexcomb.i;69.0;70.0;396.0
brevecomb_hookabovecomb.001;Regular;@brevecomb;@breve;14.0;336.0;600.0
circumflexcomb_hookabovecomb.001;Regular;@circumflex;@hookabovecomb.001;70.0;-3.0;396.0
